Transation_ID,Date,Customer ID,Gender,City,Product Category,Age,Payment,Quantity,Price per Unit,Total Amount
42,17-02-2023,CUST042,Male,Nashik,Clothing,34,Cash,3,300,900
43,14-07-2023,CUST043,Female,Mumbai,Stationery,22,Cash,1,300,300
44,19-02-2023,CUST044,Female,Nashik,Clothing,48,Cash,1,25,25
45,03-07-2023,CUST045,Female,Nashik,Electronics,22,Cash,1,30,30
46,26-06-2023,CUST046,Female,Mumbai,Electronics,55,Cash,4,300,1200
47,06-11-2023,CUST047,Female,Kolkata,Beauty,20,Credit card,3,500,1500
48,16-05-2023,CUST048,Male,Mumbai,Electronics,40,Ewallet,3,300,900
49,23-01-2023,CUST049,Female,Mumbai,Stationery,54,Credit card,2,500,1000
50,24-08-2023,CUST050,Female,Nashik,Beauty,54,Ewallet,3,25,75
51,02-10-2023,CUST051,Male,Nashik,Beauty,27,Cash,3,25,75
52,05-03-2023,CUST052,Female,Pune,Beauty,27,Cash,1,300,300
53,13-07-2023,CUST053,Male,Mumbai,Electronics,36,Ewallet,2,50,100
54,10-02-2023,CUST054,Female,Mumbai,Electronics,34,Credit card,3,500,1500
55,10-10-2023,CUST055,Male,Kolkata,Beauty,38,Ewallet,4,30,120
56,31-05-2023,CUST056,Female,Nashik,Clothing,31,Cash,3,300,900
57,18-11-2023,CUST057,Female,Pune,Beauty,26,Cash,1,30,30
58,13-11-2023,CUST058,Male,Kolkata,Stationery,63,Ewallet,4,300,1200
59,05-07-2023,CUST059,Male,Pune,Clothing,18,Cash,1,50,50
60,23-10-2023,CUST060,Male,Nashik,Beauty,62,Cash,3,50,150
61,09-04-2023,CUST061,Male,Kolkata,Beauty,30,Credit card,4,50,200
62,27-12-2023,CUST062,Male,Nashik,Beauty,21,Ewallet,2,50,100
63,05-02-2023,CUST063,Male,Mumbai,Electronics,18,Ewallet,2,25,50
64,24-01-2023,CUST064,Male,Pune,Clothing,57,Credit card,4,25,100
65,05-12-2023,CUST065,Male,Mumbai,Electronics,49,Cash,4,500,2000
66,27-04-2023,CUST066,Female,Pune,Electronics,51,Cash,1,30,30
67,29-05-2023,CUST067,Female,Nashik,Beauty,45,Ewallet,4,300,1200
68,10-02-2023,CUST068,Male,Mumbai,Electronics,48,Ewallet,1,300,300
69,30-04-2023,CUST069,Female,Pune,Beauty,25,Cash,3,25,75
70,21-02-2023,CUST070,Female,Pune,Clothing,56,Cash,1,300,300
71,14-07-2023,CUST071,Female,Nashik,Beauty,43,Credit card,4,25,100
72,23-05-2023,CUST072,Female,Nashik,Electronics,51,Cash,4,500,2000
73,21-08-2023,CUST073,Male,Mumbai,Electronics,20,Ewallet,3,30,90
74,22-11-2023,CUST074,Female,Nashik,Beauty,29,Cash,4,500,2000
75,06-07-2023,CUST075,Male,Pune,Stationery,18,Ewallet,4,50,200
76,25-03-2023,CUST076,Female,Nashik,Electronics,61,Credit card,2,50,100
77,09-07-2023,CUST077,Female,Nashik,Clothing,22,Credit card,2,50,100
78,01-07-2023,CUST078,Female,Pune,Clothing,47,Credit card,3,500,1500
79,18-04-2023,CUST079,Male,Nashik,Beauty,47,Ewallet,1,300,300
80,10-12-2023,CUST080,Female,Nashik,Clothing,34,Cash,2,30,60
81,17-05-2023,CUST081,Male,Nashik,Electronics,64,Credit card,1,50,50
82,26-12-2023,CUST082,Female,Mumbai,Beauty,40,Ewallet,4,50,200
83,16-12-2023,CUST083,Male,Nashik,Electronics,32,Ewallet,2,50,100
84,28-11-2023,CUST084,Female,Nashik,Electronics,54,Credit card,3,30,90
85,06-02-2023,CUST085,Male,Kolkata,Clothing,38,Cash,3,50,150
86,08-11-2023,CUST086,Male,Nashik,Beauty,31,Ewallet,3,30,90
87,22-11-2023,CUST087,Female,Nashik,Beauty,19,Cash,2,50,100
88,29-03-2023,CUST088,Male,Pune,Clothing,28,Credit card,1,500,500
89,01-10-2023,CUST089,Female,Pune,Electronics,56,Cash,4,500,2000
90,06-05-2023,CUST090,Female,Mumbai,Electronics,55,Cash,1,30,30
91,25-03-2023,CUST091,Female,Nashik,Stationery,51,Cash,1,500,500
92,25-08-2023,CUST092,Female,Nashik,Electronics,55,Ewallet,4,30,120
93,14-07-2023,CUST093,Female,Pune,Beauty,51,Ewallet,4,500,2000
94,19-05-2023,CUST094,Female,Mumbai,Beauty,35,Credit card,2,500,1000
95,24-11-2023,CUST095,Female,Nashik,Clothing,47,Credit card,2,30,60
96,19-12-2023,CUST096,Female,Pune,Clothing,32,Ewallet,2,300,600
97,13-10-2023,CUST097,Female,Mumbai,Beauty,44,Ewallet,2,500,1000
98,23-04-2023,CUST098,Female,Nashik,Beauty,51,Cash,2,50,100
99,17-12-2023,CUST099,Female,Pune,Electronics,55,Ewallet,4,300,1200
100,16-06-2023,CUST100,Male,Pune,Electronics,50,Ewallet,1,30,30
101,29-01-2023,CUST101,Male,Mumbai,Clothing,41,Cash,2,300,600
102,28-04-2023,CUST102,Female,Nashik,Beauty,32,Credit card,2,25,50
103,17-01-2023,CUST103,Female,Nashik,Stationery,47,Ewallet,1,25,25
104,11-06-2023,CUST104,Female,Pune,Beauty,59,Ewallet,2,500,1000
105,25-07-2023,CUST105,Female,Mumbai,Electronics,34,Ewallet,1,500,500
106,18-05-2023,CUST106,Female,Nashik,Clothing,22,Ewallet,1,50,50
107,03-02-2023,CUST107,Female,Pune,Clothing,46,Ewallet,4,300,1200
108,19-04-2023,CUST108,Female,Mumbai,Beauty,21,Credit card,3,25,75
109,18-10-2023,CUST109,Female,Nashik,Electronics,27,Credit card,4,500,2000
110,11-06-2023,CUST110,Male,Pune,Clothing,34,Ewallet,3,300,900
111,19-04-2023,CUST111,Female,Pune,Electronics,27,Cash,3,500,1500
112,02-12-2023,CUST112,Male,Mumbai,Clothing,34,Ewallet,3,500,1500
113,13-09-2023,CUST113,Female,Nashik,Electronics,37,Ewallet,2,25,50
114,22-07-2023,CUST114,Female,Nashik,Beauty,41,Cash,4,25,100
115,26-11-2023,CUST115,Male,Pune,Clothing,22,Cash,3,500,1500
116,23-08-2023,CUST116,Female,Mumbai,Clothing,51,Credit card,1,30,30
117,15-03-2023,CUST117,Male,Nashik,Electronics,23,Credit card,2,500,1000
118,16-05-2023,CUST118,Female,Pune,Electronics,19,Credit card,4,500,2000
119,13-03-2023,CUST119,Female,Mumbai,Clothing,30,Ewallet,3,50,150
120,07-05-2023,CUST120,Male,Nashik,Beauty,60,Ewallet,1,50,50
121,15-10-2023,CUST121,Female,Pune,Electronics,60,Ewallet,4,50,200
122,03-10-2023,CUST122,Male,Pune,Electronics,28,Credit card,4,30,120
123,15-05-2023,CUST123,Female,Mumbai,Electronics,64,Ewallet,2,30,60
124,27-10-2023,CUST124,Male,Nashik,Clothing,40,Ewallet,4,500,2000
125,08-08-2023,CUST125,Male,Nashik,Stationery,33,Credit card,2,50,100
126,26-10-2023,CUST126,Female,Pune,Clothing,48,Cash,3,30,90
127,24-07-2023,CUST127,Female,Mumbai,Clothing,28,Credit card,2,25,50
128,05-07-2023,CUST128,Male,Nashik,Beauty,33,Cash,1,500,500
129,23-04-2023,CUST129,Female,Pune,Beauty,25,Cash,2,300,600
130,12-03-2023,CUST130,Female,Mumbai,Clothing,21,Credit card,1,500,500
131,18-09-2023,CUST131,Female,Nashik,Beauty,57,Cash,2,300,600
132,10-09-2023,CUST132,Male,Pune,Electronics,21,Cash,4,50,200
133,16-02-2023,CUST133,Male,Pune,Electronics,42,Credit card,3,300,900
134,25-01-2023,CUST134,Male,Mumbai,Stationery,20,Ewallet,1,50,50
135,26-02-2023,CUST135,Male,Nashik,Clothing,49,Ewallet,2,25,50
136,20-03-2023,CUST136,Male,Nashik,Electronics,20,Ewallet,2,300,600
137,18-11-2023,CUST137,Male,Pune,Beauty,44,Ewallet,2,500,1000
138,23-03-2023,CUST138,Male,Mumbai,Clothing,46,Ewallet,4,50,200
139,15-12-2023,CUST139,Male,Kolkata,Beauty,49,Cash,4,500,2000
140,05-08-2023,CUST140,Male,Pune,Electronics,36,Ewallet,1,30,30
141,02-11-2023,CUST141,Female,Mumbai,Stationery,38,Cash,1,50,50
142,02-02-2023,CUST142,Male,Nashik,Electronics,22,Cash,4,300,1200
143,17-07-2023,CUST143,Female,Pune,Clothing,35,Cash,1,50,50
144,15-07-2023,CUST144,Female,Kolkata,Beauty,45,Cash,3,500,1500
145,02-11-2023,CUST145,Female,Mumbai,Clothing,59,Cash,3,25,75
146,28-08-2023,CUST146,Male,Nashik,Clothing,39,Credit card,4,50,200
147,28-09-2023,CUST147,Male,Nashik,Electronics,38,Ewallet,1,300,300
148,09-05-2023,CUST148,Male,Pune,Clothing,23,Credit card,2,30,60
149,11-10-2023,CUST149,Male,Mumbai,Clothing,18,Ewallet,3,25,75
150,06-01-2023,CUST150,Female,Nashik,Electronics,22,Cash,4,30,120
151,15-12-2023,CUST151,Male,Pune,Clothing,58,Cash,1,50,50
152,28-02-2023,CUST152,Male,Mumbai,Electronics,29,Ewallet,4,500,2000
153,16-12-2023,CUST153,Male,Nashik,Stationery,43,Credit card,2,500,1000
154,02-10-2023,CUST154,Male,Kolkata,Electronics,63,Ewallet,3,300,900
155,17-05-2023,CUST155,Male,Pune,Electronics,51,Cash,4,500,2000
156,25-11-2023,CUST156,Female,Mumbai,Clothing,31,Cash,4,25,100
157,24-06-2023,CUST157,Male,Nashik,Electronics,43,Ewallet,4,500,2000
158,27-02-2023,CUST158,Female,Nashik,Electronics,62,Cash,2,300,600
159,31-05-2023,CUST159,Male,Pune,Clothing,44,Cash,4,50,200
160,11-08-2023,CUST160,Female,Mumbai,Clothing,26,Credit card,2,50,100
161,22-03-2023,CUST161,Male,Nashik,Beauty,43,Ewallet,2,500,1000
162,21-08-2023,CUST162,Male,Pune,Clothing,64,Ewallet,2,30,60
163,02-01-2023,CUST163,Female,Mumbai,Clothing,39,Credit card,3,50,150
164,15-05-2023,CUST164,Female,Nashik,Beauty,64,Cash,3,500,1500
165,14-09-2023,CUST165,Female,Kolkata,Clothing,47,Cash,4,300,1200
166,02-04-2023,CUST166,Male,Pune,Footwear & Shoes,60,Ewallet,4,500,2000
167,17-09-2023,CUST167,Female,Mumbai,Clothing,34,Ewallet,3,50,150
168,24-02-2023,CUST168,Male,Nashik,Clothing,43,Cash,1,300,300
169,17-11-2023,CUST169,Male,Nashik,Beauty,53,Cash,3,500,1500
170,02-06-2023,CUST170,Female,Pune,Clothing,18,Credit card,2,25,50
171,24-11-2023,CUST171,Female,Mumbai,Clothing,25,Cash,3,300,900
172,17-09-2023,CUST172,Male,Nashik,Beauty,52,Ewallet,2,25,50
173,08-11-2023,CUST173,Male,Pune,Footwear & Shoes,32,Cash,4,30,120
174,12-04-2023,CUST174,Female,Mumbai,Beauty,64,Ewallet,1,300,300
175,20-03-2023,CUST175,Female,Nashik,Electronics,39,Credit card,4,25,100
176,11-07-2023,CUST176,Female,Pune,Beauty,31,Credit card,2,50,100
177,24-03-2023,CUST177,Male,Kolkata,Footwear & Shoes,43,Credit card,2,50,100
178,04-10-2023,CUST178,Male,Mumbai,Clothing,45,Ewallet,2,30,60
179,29-09-2023,CUST179,Male,Nashik,Electronics,40,Cash,1,300,300
180,01-01-2023,CUST180,Male,Nashik,Clothing,31,Credit card,3,300,900
181,03-11-2023,CUST181,Male,Pune,Electronics,41,Ewallet,4,300,1200
182,15-06-2023,CUST182,Male,Mumbai,Beauty,19,Ewallet,4,30,120
183,08-09-2023,CUST183,Female,Nashik,Beauty,62,Credit card,3,300,900
184,10-01-2023,CUST184,Male,Pune,Electronics,43,Cash,4,50,200
185,27-02-2023,CUST185,Male,Mumbai,Clothing,31,Ewallet,1,25,25
186,05-07-2023,CUST186,Male,Nashik,Clothing,24,Cash,4,50,200
187,07-06-2023,CUST187,Female,Pune,Footwear & Shoes,20,Credit card,2,50,100
188,03-05-2023,CUST188,Male,Pune,Clothing,64,Cash,3,25,75
189,30-01-2023,CUST189,Male,Mumbai,Beauty,40,Cash,1,50,50
190,04-05-2023,CUST190,Female,Kolkata,Beauty,63,Cash,3,30,90
191,18-10-2023,CUST191,Male,Nashik,Beauty,60,Ewallet,1,25,25
192,10-02-2023,CUST192,Male,Pune,Beauty,64,Ewallet,2,50,100
193,13-02-2023,CUST193,Male,Mumbai,Beauty,62,Credit card,3,500,1500
194,06-09-2023,CUST194,Male,Nashik,Clothing,35,Credit card,4,50,200
195,05-02-2023,CUST195,Male,Pune,Clothing,55,Ewallet,1,30,30
196,30-09-2023,CUST196,Female,Mumbai,Clothing,52,Ewallet,3,300,900
197,06-03-2023,CUST197,Female,Nashik,Clothing,32,Cash,4,50,200
198,07-03-2023,CUST198,Female,Pune,Beauty,42,Ewallet,3,300,900
199,04-12-2023,CUST199,Male,Pune,Footwear & Shoes,54,Ewallet,3,500,1500
200,01-09-2023,CUST200,Male,Mumbai,Beauty,45,Cash,3,50,150
201,09-10-2023,CUST201,Male,Nashik,Electronics,27,Credit card,1,25,25
202,26-03-2023,CUST202,Female,Nashik,Clothing,56,Ewallet,4,300,1200
203,16-05-2023,CUST203,Male,Pune,Clothing,34,Ewallet,2,500,1000
204,28-09-2023,CUST204,Male,Mumbai,Beauty,56,Ewallet,1,25,25
205,07-11-2023,CUST205,Female,Nashik,Clothing,39,Ewallet,1,25,25
206,05-08-2023,CUST206,Male,Pune,Clothing,43,Ewallet,1,25,25
207,19-04-2023,CUST207,Female,Mumbai,Beauty,61,Credit card,2,25,50
208,04-10-2023,CUST208,Female,Nashik,Electronics,42,Credit card,4,50,200
209,20-12-2023,CUST209,Female,Pune,Footwear & Shoes,34,Ewallet,4,50,200
210,13-04-2023,CUST210,Male,Pune,Electronics,30,Cash,4,50,200
211,01-01-2024,CUST211,Male,Mumbai,Beauty,37,Ewallet,3,500,1500
212,09-06-2023,CUST212,Male,Nashik,Clothing,42,Ewallet,3,500,1500
213,24-07-2023,CUST213,Male,Nashik,Beauty,21,Cash,3,500,1500
214,10-12-2023,CUST214,Male,Pune,Beauty,27,Cash,2,30,60
215,29-11-2023,CUST215,Male,Mumbai,Clothing,20,Credit card,3,500,1500
216,11-07-2023,CUST216,Male,Nashik,Electronics,58,Credit card,2,50,100
217,13-08-2023,CUST217,Female,Pune,Electronics,62,Credit card,4,50,200
218,22-09-2023,CUST218,Male,Mumbai,Beauty,35,Ewallet,3,30,90
219,20-08-2023,CUST219,Female,Nashik,Electronics,64,Ewallet,3,30,90
220,03-03-2023,CUST220,Male,Pune,Beauty,53,Ewallet,1,500,500
221,07-05-2023,CUST221,Male,Pune,Beauty,64,Credit card,2,300,600
222,26-04-2023,CUST222,Male,Mumbai,Clothing,39,Ewallet,4,30,120
223,02-02-2023,CUST223,Female,Nashik,Clothing,51,Ewallet,1,25,25
224,23-06-2023,CUST224,Female,Nashik,Clothing,64,Credit card,1,50,50
225,11-01-2023,CUST225,Female,Pune,Beauty,25,Cash,4,25,100
226,29-10-2023,CUST226,Female,Mumbai,Clothing,57,Credit card,1,50,50
227,11-10-2023,CUST227,Male,Nashik,Electronics,61,Cash,2,50,100
228,28-04-2023,CUST228,Female,Pune,Footwear & Shoes,36,Cash,2,30,60
229,29-10-2023,CUST229,Male,Mumbai,Beauty,59,Credit card,3,30,90
230,23-04-2023,CUST230,Male,Nashik,Beauty,58,Cash,1,25,25
231,04-01-2023,CUST231,Female,Pune,Clothing,54,Cash,3,50,150
232,06-02-2023,CUST232,Female,Pune,Beauty,23,Credit card,1,25,25
233,29-12-2023,CUST233,Female,Mumbai,Beauty,43,Ewallet,2,300,600
234,20-11-2023,CUST234,Female,Nashik,Electronics,51,Ewallet,2,25,50
235,31-01-2023,CUST235,Female,Nashik,Electronics,62,Ewallet,2,500,1000
236,28-04-2023,CUST236,Female,Pune,Clothing,23,Ewallet,1,25,25
237,04-02-2023,CUST237,Female,Mumbai,Beauty,54,Ewallet,2,500,1000
238,17-01-2023,CUST238,Female,Nashik,Beauty,50,Cash,1,500,500
239,19-06-2023,CUST239,Male,Pune,Electronics,39,Ewallet,3,500,1500
240,06-02-2023,CUST240,Female,Mumbai,Beauty,38,Cash,1,300,300
241,21-09-2023,CUST241,Female,Nashik,Electronics,23,Cash,3,25,75
242,02-05-2023,CUST242,Male,Pune,Footwear & Shoes,23,Cash,1,25,25
243,23-05-2023,CUST243,Female,Pune,Electronics,21,Cash,3,300,900
244,09-12-2023,CUST244,Male,Mumbai,Beauty,47,Cash,2,50,100
245,06-09-2023,CUST245,Male,Nashik,Clothing,28,Credit card,3,30,90
246,20-04-2023,CUST246,Female,Nashik,Electronics,47,Ewallet,2,25,50
247,04-10-2023,CUST247,Male,Pune,Electronics,48,Credit card,2,30,60
248,09-03-2023,CUST248,Male,Mumbai,Clothing,41,Ewallet,3,300,900
249,20-10-2023,CUST249,Male,Nashik,Clothing,26,Cash,1,50,50
250,23-10-2023,CUST250,Male,Pune,Electronics,20,Cash,1,50,50
251,31-08-2023,CUST251,Female,Mumbai,Footwear & Shoes,48,Ewallet,4,50,200
252,05-05-2023,CUST252,Male,Nashik,Electronics,57,Credit card,1,300,300
253,31-08-2023,CUST253,Female,Pune,Clothing,54,Ewallet,4,500,2000
254,28-07-2023,CUST254,Male,Pune,Electronics,53,Cash,1,500,500
255,08-04-2023,CUST255,Male,Mumbai,Clothing,41,Cash,1,30,30
256,18-02-2023,CUST256,Male,Nashik,Clothing,48,Ewallet,2,500,1000
257,19-02-2023,CUST257,Male,Nashik,Beauty,23,Cash,4,500,2000
258,04-12-2023,CUST258,Female,Pune,Clothing,19,Cash,1,50,50
259,09-08-2023,CUST259,Female,Mumbai,Clothing,37,Credit card,4,50,200
260,01-07-2023,CUST260,Male,Nashik,Beauty,45,Ewallet,2,30,60
261,05-08-2023,CUST261,Male,Pune,Clothing,28,Ewallet,2,25,50
262,30-07-2023,CUST262,Female,Mumbai,Beauty,21,Credit card,4,30,120
263,28-08-2023,CUST263,Male,Nashik,Beauty,32,Cash,2,30,60
264,28-01-2023,CUST264,Male,Kolkata,Clothing,23,Cash,3,300,900
265,11-12-2023,CUST265,Male,Pune,Clothing,47,Ewallet,3,300,900
266,01-12-2023,CUST266,Female,Mumbai,Electronics,55,Ewallet,2,30,60
267,27-11-2023,CUST267,Female,Nashik,Beauty,19,Cash,3,30,90
268,20-02-2023,CUST268,Female,Nashik,Footwear & Shoes,32,Cash,1,30,30
269,01-02-2023,CUST269,Male,Pune,Clothing,28,Credit card,4,500,2000
270,26-07-2023,CUST270,Male,Mumbai,Electronics,25,Cash,1,300,300
271,23-06-2023,CUST271,Female,Nashik,Beauty,43,Ewallet,4,30,120
272,25-02-2023,CUST272,Female,Pune,Electronics,62,Cash,2,50,100
273,08-05-2023,CUST273,Female,Mumbai,Beauty,61,Ewallet,1,50,50
274,09-04-2023,CUST274,Female,Nashik,Clothing,22,Credit card,2,500,1000
275,08-04-2023,CUST275,Male,Pune,Footwear & Shoes,23,Credit card,2,500,1000
276,02-10-2023,CUST276,Female,Pune,Beauty,43,Credit card,4,25,100
277,18-08-2023,CUST277,Male,Mumbai,Clothing,21,Ewallet,4,25,100
278,13-03-2023,CUST278,Female,Nashik,Clothing,36,Cash,4,25,100
279,05-08-2023,CUST279,Male,Nashik,Clothing,37,Credit card,1,500,500
280,04-04-2023,CUST280,Female,Pune,Clothing,50,Ewallet,3,500,1500
281,23-05-2023,CUST281,Female,Mumbai,Beauty,37,Ewallet,4,500,2000
282,25-08-2023,CUST282,Female,Nashik,Electronics,29,Credit card,4,50,200
283,08-05-2023,CUST283,Female,Pune,Electronics,64,Cash,1,500,500
284,08-02-2023,CUST284,Male,Mumbai,Clothing,18,Ewallet,4,50,200
285,15-08-2023,CUST285,Female,Nashik,Electronics,43,Cash,1,25,25
286,09-10-2023,CUST286,Male,Pune,Electronics,31,Credit card,2,25,50
287,20-02-2023,CUST287,Male,Pune,Clothing,55,Cash,4,25,100
288,26-01-2023,CUST288,Male,Mumbai,Clothing,54,Cash,4,30,120
289,30-11-2023,CUST289,Male,Nashik,Electronics,28,Cash,2,30,60
290,04-10-2023,CUST290,Female,Nashik,Beauty,53,Ewallet,2,300,600
291,08-01-2023,CUST291,Male,Pune,Clothing,30,Ewallet,2,300,600
292,17-02-2023,CUST292,Male,Mumbai,Beauty,60,Credit card,4,300,1200
293,02-05-2023,CUST293,Male,Nashik,Electronics,20,Credit card,3,30,90
294,27-03-2023,CUST294,Female,Pune,Clothing,50,Ewallet,3,30,90
295,28-07-2023,CUST295,Female,Mumbai,Footwear & Shoes,23,Ewallet,3,300,900
296,06-09-2023,CUST296,Female,Nashik,Clothing,27,Cash,4,300,1200
297,04-09-2023,CUST297,Female,Kolkata,Electronics,22,Ewallet,2,500,1000
298,20-04-2023,CUST298,Male,Pune,Beauty,40,Ewallet,4,300,1200
299,25-07-2023,CUST299,Male,Mumbai,Electronics,27,Cash,2,500,1000
300,31-01-2023,CUST300,Female,Nashik,Electronics,61,Credit card,4,50,200
301,26-03-2023,CUST301,Male,Nashik,Clothing,19,Ewallet,4,30,120
302,14-07-2023,CUST302,Male,Pune,Beauty,30,Ewallet,2,300,600
303,02-01-2023,CUST303,Male,Mumbai,Electronics,57,Ewallet,3,30,90
304,19-07-2023,CUST304,Female,Nashik,Electronics,19,Ewallet,2,30,60
305,16-05-2023,CUST305,Female,Pune,Beauty,37,Ewallet,1,30,30
306,21-08-2023,CUST306,Male,Mumbai,Electronics,18,Credit card,1,50,50
307,27-05-2023,CUST307,Female,Nashik,Footwear & Shoes,54,Credit card,2,25,50
308,05-08-2023,CUST308,Female,Pune,Beauty,26,Ewallet,4,300,1200
309,23-12-2023,CUST309,Female,Surat,Beauty,34,Cash,1,25,25
310,12-10-2023,CUST310,Female,Pune,Footwear & Shoes,26,Ewallet,1,25,25
311,05-12-2023,CUST311,Female,Mumbai,Beauty,28,Ewallet,4,25,100
312,07-09-2023,CUST312,Male,Nashik,Clothing,32,Cash,4,30,120
313,21-03-2023,CUST313,Female,Nashik,Beauty,41,Cash,3,500,1500
314,08-04-2023,CUST314,Male,Pune,Clothing,55,Credit card,4,30,120
315,01-06-2023,CUST315,Male,Mumbai,Clothing,52,Credit card,2,30,60
316,22-04-2023,CUST316,Female,Nashik,Clothing,47,Credit card,2,25,50
317,30-01-2023,CUST317,Male,Pune,Electronics,48,Ewallet,3,30,90
318,24-10-2023,CUST318,Male,Mumbai,Clothing,22,Ewallet,1,25,25
319,05-10-2023,CUST319,Male,Nashik,Footwear & Shoes,61,Ewallet,1,500,500
320,01-02-2023,CUST320,Female,Pune,Electronics,31,Credit card,4,300,1200
321,10-06-2023,CUST321,Female,Surat,Electronics,28,Ewallet,2,25,50
322,30-01-2023,CUST322,Male,Pune,Electronics,26,Ewallet,1,500,500
323,26-01-2023,CUST323,Female,Mumbai,Beauty,51,Credit card,3,300,900
324,27-10-2023,CUST324,Female,Nashik,Electronics,29,Cash,3,50,150
325,02-09-2023,CUST325,Female,Nashik,Electronics,52,Credit card,2,25,50
326,15-09-2023,CUST326,Female,Pune,Clothing,52,Cash,3,25,75
327,29-09-2023,CUST327,Male,Mumbai,Electronics,18,Cash,3,50,150
328,22-03-2023,CUST328,Male,Nashik,Beauty,57,Credit card,2,50,100
329,30-01-2023,CUST329,Female,Pune,Electronics,39,Cash,4,25,100
330,18-09-2023,CUST330,Female,Mumbai,Beauty,46,Cash,4,50,200
331,11-02-2023,CUST331,Male,Nashik,Electronics,25,Credit card,3,30,90
332,06-04-2023,CUST332,Male,Pune,Electronics,28,Ewallet,4,300,1200
333,05-02-2023,CUST333,Female,Surat,Electronics,58,Ewallet,4,300,1200
334,01-11-2023,CUST334,Male,Pune,Electronics,54,Ewallet,3,300,900
335,04-02-2023,CUST335,Female,Mumbai,Beauty,31,Ewallet,4,30,120
336,12-12-2023,CUST336,Female,Nashik,Beauty,47,Ewallet,3,50,150
337,01-05-2023,CUST337,Male,Nashik,Clothing,52,Cash,1,500,500
338,26-07-2023,CUST338,Male,Pune,Beauty,38,Ewallet,2,50,100
339,03-03-2023,CUST339,Female,Mumbai,Electronics,54,Cash,2,25,50
340,19-10-2023,CUST340,Female,Nashik,Clothing,22,Cash,4,300,1200
341,07-05-2023,CUST341,Male,Pune,Clothing,36,Cash,4,50,200
342,24-10-2023,CUST342,Female,Mumbai,Clothing,31,Cash,4,500,2000
343,01-11-2023,CUST343,Male,Nashik,Electronics,43,Cash,2,25,50
